92;Старый Оскол;Город;Белгородская область;Центральный;220 630;221 254;222 125;Прирост
93;Королёв;Город;Московская область;Центральный;187 811;220 947;221 129;Прирост
94;Псков;Город;Псковская область;Северо-Западный;206 730;207 571;208 145;Прирост
95;Бийск;Город;Алтайский край;Сибирский;204 041;204 164;203 826;Убывание
96;Мытищи;Город;Московская область;Центральный;183 224;187 119;201 130;Прирост
97;Прокопьевск;Город;Кемеровская область;Сибирский;202 672;200 547;198 438;Убывание
98;Балаково;Город;Саратовская область;Приволжский;194 573;193 533;192 359;Убывание
99;Рыбинск;Город;Ярославская область;Центральный;194 843;193 341;191 840;Убывание
100;Южно-Сахалинск;Город;Сахалинская область;Дальневосточный;192 734;192 780;193 669;Прирост
101;Армавир;Город;Краснодарский край;Южный;191 799;191 568;191 007;Убывание
102;Люберцы;Город;Московская область;Центральный;185 067;189 123;190 480;Прирост
103;Северодвинск;Город;Архангельская область;Северо-Западный;187 284;186 172;185 075;Убывание
104;Петропавловск-Камчатский;Город;Камчатский край;Дальневосточный;182 711;181 015;180 963;Убывание
105;Норильск;Город;Красноярский край;Сибирский;176 559;176 251;177 428;Прирост
106;Абакан;Город;Республика Хакасия;Сибирский;173 205;176 212;179 200;Прирост
107;Сызрань;Город;Самарская область;Приволжский;176 057;175 222;174 559;Убывание
108;Новочеркасск;Город;Ростовская область;Южный;173 464;172 817;170 233;Убывание
109;Каменск-Уральский;Город;Свердловская область;Уральский;171 483;170 922;170 221;Убывание
110;Волгодонск;Город;Ростовская область;Южный;170 074;170 230;170 558;Прирост
111;Златоуст;Город;Челябинская область;Уральский;170 920;169 957;169 057;Убывание
112;Уссурийск;Город;Приморский край;Дальневосточный;166 819;168 137;168 598;Прирост
113;Электросталь;Город;Московская область;Центральный;157 409;158 222;158 479;Прирост
114;Находка;Город;Приморский край;Дальневосточный;156 442;155 722;153 581;Убывание
115;Салават;Город;Республика Башкортостан;Приволжский;154 593;155 655;154 117;Убывание
116;Миасс;Город;Челябинская область;Уральский;150 824;151 322;151 387;Прирост
117;Альметьевск;Город;Республика Татарстан;Приволжский;149 894;151 157;152 580;Прирост
118;Березники;Город;Пермский край;Приволжский;150 696;148 955;146 627;Убывание
119;Керчь;Город;Республика Крым;Южный;147 033;147 668;148 932;Прирост
120;Рубцовск;Город;Алтайский край;Сибирский;147 448;146 516;146 386;Убывание
121;Пятигорск;Город;Ставропольский край;Южный;145 952;145 971;145 448;Убывание
122;Копейск;Город;Челябинская область;Уральский;141 878;144 552;146 146;Прирост
123;Красногорск;Город;Московская область;Центральный;132 036;137 587;144 614;Прирост
124;Майкоп;Город;Республика Адыгея;Южный;144 544;144 101;144 260;Прирост
125;Коломна;Город;Московская область;Центральный;144 316;144 253;143 578;Убывание
126;Одинцово;Город;Московская область;Центральный;140 439;141 429;141 317;Убывание
127;Ковров;Город;Владимирская область;Центральный;140 981;140 117;139 280;Убывание
128;Нефтекамск;Город;Республика Башкортостан;Приволжский;124 005;125 000;125 915;Прирост
129;Хасавюрт;Город;Республика Дагестан;Северо-Кавказский;135 329;136 789;138 420;Прирост
130;Кисловодск;Город;Ставропольский край;Северо-Кавказский;129 949;130 007;129 993;Убывание
131;Новомосковск;Город;Тульская область;Центральный;127 984;127 214;126 410;Убывание
132;Серпухов;Город;Московская область;Центральный;127 125;126 728;126 586;Убывание
133;Новочебоксарск;Город;Чувашская Республика;Приволжский;123 992;124 869;125 489;Прирост
134;Нефтеюганск;Город;Ханты-Мансийский автономный округ — Югра;Уральский;128 850;125 368;125 368;>
135;Первоуральск;Город;Свердловская область;Уральский;125 573;125 495;124 981;Убывание
136;Щёлково;Город;Московская область;Центральный;116 366;118 962;123 520;Прирост
137;Черкесск;Город;Карачаево-Черкесская Республика;Северо-Кавказский;124 951;124 187;123 128;Убывание
138;Дербент;Город;Республика Дагестан;Северо-Кавказский;120 470;121 251;122 354;Прирост
139;Орехово-Зуево;Город;Московская область;Центральный;120 699;120 184;120 165;Убывание
140;Батайск;Город;Ростовская область;Южный;117 405;119 807;122 247;Прирост
141;Невинномысск;Город;Ставропольский край;Южный;117 638;117 868;117 891;Прирост
142;Димитровград;Город;Ульяновская область;Приволжский;118 513;117 383;116 678;Убывание
143;Новый Уренгой;Город;Ямало-Ненецкий автономный округ;Уральский;115 753;115 092;111 163;Убывание
144;Кызыл;Город;Республика Тыва;Сибирский;113 986;114 181;115 871;Прирост
145;Камышин;Город;Волгоградская область;Южный;115 070;113 402;112 501;Убывание
146;Октябрьский;Город;Республика Башкортостан;Приволжский;112 249;112 478;114 050;Прирост
147;Домодедово;Город;Московская область;Центральный;108 223;112 052;116 950;Прирост
148;Муром;Город;Владимирская область;Центральный;111 474;110 746;110 070;Убывание
149;Обнинск;Город;Калужская область;Центральный;107 319;109 365;111 360;Прирост
150;Назрань;Город;Республика Ингушетия;Северо-Кавказский;105 823;109 284;113 288;Прирост
151;Каспийск;Город;Республика Дагестан;Северо-Кавказский;105 106;107 329;110 080;Прирост
152;Раменское;Город;Московская область;Центральный;103 069;106 264;109 709;Прирост
153;Новошахтинск;Город;Ростовская область;Южный;109 468;109 139;109 020;Убывание
154;Жуковский;Город;Московская область;Центральный;107 552;107 815;108 427;Прирост
155;Северск;Город;Томская область;Сибирский;108 950;108 436;108 105;Убывание
